int_ax,ax_min,ax_max,int_ay,ay_min,ay_max,int_az,az_min,az_max,gyr_x_min,gyr_x_max,gyr_y_min,gyr_y_max,gyr_z_min,gyr_z_max,make,left,right,short,long,suggestion,file_name
4971923.659958097,-1525.0,718.0,4817037.353334165,-800.0,1569.0,2571888.6737498604,-1043.0,1033.0,-53.9,66.7,-76.3,185.0,-107.5,79.1,0,0,1,0,0,ns,1596169791
-282930.1835075493,-1998.0,1314.0,849068.0138404956,-433.0,1996.0,66943.7236256291,-1996.0,1998.0,-426.5,2033.9,-913.4,2292.2,-249.4,1928.9,0,1,0,0,0,ns,1596169812
-1802124.179396624,-1998.0,1429.0,1032498.3897065131,-1972.0,1996.0,-605436.8514346279,-1996.0,1998.0,-1551.2,384.0,-2069.6,2279.7,-1045.6,316.4,1,0,0,0,0,ns,1596169838
-637016.917032237,-1998.0,1806.0,-1746471.5773694732,-1998.0,1996.0,-395103.213930586,-1996.0,1998.0,-291.9,1543.3,-2114.7,1462.2,-88.1,986.1,1,0,0,0,0,ns,1596169863
-1087662.5138978015,-1998.0,1659.0,1971951.0707820768,-1998.0,1996.0,-155873.44574441874,-1996.0,1998.0,-547.1,859.0,-1927.3,1773.5,-1011.3,932.6,0,0,0,0,1,ns,1596169893
8295767.460401211,-1998.0,1425.0,4334443.397341606,-1307.0,1996.0,-10524425.465048604,-1996.0,875.0,-91.2,138.8,-182.3,182.4,-75.8,96.9,0,1,0,0,0,ns,1596169935
-105633.35696248195,-1998.0,1998.0,845416.4584505772,-1084.0,1996.0,43606.429563492056,-1996.0,1998.0,-460.8,498.9,-816.3,2068.8,-801.6,408.1,0,1,0,0,0,ns,1596169961
-621659.2831509997,-1998.0,1998.0,2270153.865229228,-1998.0,1996.0,-29530.860851972568,-1996.0,1998.0,-637.9,496.7,-1316.4,2290.9,-899.5,282.2,0,0,0,1,0,ns,1596169995
-11738607.974264706,-1998.0,1711.0,-691455.956535951,-1998.0,1996.0,15893942.738738833,-1996.0,1998.0,-961.9,352.1,-2214.6,1777.1,-750.7,283.2,1,0,0,0,0,ns,1596170025
-696234.0557889823,-1998.0,1998.0,1513356.1964604026,-1998.0,1940.0,-297158.3338638487,-1996.0,1998.0,-1058.9,469.4,-1468.4,2287.7,-2002.1,713.0,0,1,0,0,0,ns,1596170069
2214064.930469059,-1708.0,909.0,52135.504343051696,-792.0,1662.0,-4337979.99035702,-1136.0,948.0,-53.7,97.0,-226.5,188.1,-56.9,80.4,0,1,0,0,0,ns,1596170133
-168011.00915892672,-1883.0,1893.0,826374.2373666066,-1998.0,1996.0,-15000.675452299687,-1996.0,1998.0,-268.5,610.5,-712.1,1621.4,-634.0,302.4,1,0,0,0,0,ns,1596170159
121431.56746031748,-1998.0,1642.0,811104.8015873015,-1597.0,1996.0,119270.23015873016,-1996.0,1963.0,-298.5,1984.8,-674.8,2272.4,-124.0,1389.1,1,0,0,0,0,ns,1596170232
-30137950.79326539,-1998.0,1725.0,-11230758.881494803,-1989.0,1996.0,-4667215.482713829,-1996.0,1995.0,-338.1,2095.1,-505.5,2268.2,-236.1,417.3,1,0,0,0,0,ns,1596170255
4787762.855517,-1998.0,1903.0,-14444518.041746678,-1996.0,1996.0,988563.0257682665,-1996.0,1998.0,-1450.7,217.6,-1901.4,2292.2,-1552.5,539.1,0,0,0,0,1,ns,1596170282
-797352.8058543126,-1998.0,1706.0,2493864.496786701,-1918.0,1989.0,-773119.3470960802,-1996.0,1998.0,-1480.3,474.1,-1565.4,2023.4,-912.3,341.7,1,0,0,0,0,ns,1596170305
-1137516.5138888892,-1998.0,1998.0,6099613.972222224,-1998.0,1996.0,-3653982.6944444436,-1996.0,1998.0,-1496.1,366.9,-1798.5,2261.4,-798.6,370.2,0,0,0,0,1,ns,1596170336
